"question","answer","type","order","isActive","","","","","","","","","","","","","","","","","","","","",""
"מי אחראי לגבות את התמונות וההודעות שלי (כגון WhatsApp) במעבר למכשיר החדש?","האחריות על גיבוי התכנים האישיים היא אך ורק של העובד. לחברת הסלולר אין שום אחריות על גיבוי התכנים האגורים במכשיר הישן או באפליקציות צד שלישי בעת ההחלפה.","qa","1","TRUE","","","","","","","","","","","","","","","","","","","","",""
"האם אוכל לבטל את שדרוג המכשיר לאחר שקיבלתי אותו?","כן, אך ורק במידה ולא עשית במכשיר _כל_ שימוש - ניתן להחזיר את המכשיר תוך 14 ימי עסקים מיום האספקה. אם האריזה נפתחה, ונעשה איזה שימוש במכשיר, העסקה סופית ולא ניתנת לביטול.","qa","2","TRUE","","","","","","","","","","","","","","","","","","","","",""
"אני רוצה להחזיר את המכשיר כדי לצאת מהתחייבות. האם יש תנאים לכך?","במסגרת ההצטרפות העובד חותם על הצהרה, כי ידוע לו שלקיחת מכשיר במסלול זה כרוכה בהתחייבות מינימלית של 24 חודשים. 
עם זאת, במקרה שבו שתסיים את העסקתך במשרד לפני תום תקופת ההתחייבות, תחויב ביתרת עלות ההתחייבות, מאמצעי התשלום האישי שלך.","qa","3","TRUE","","","","","","","","","","","","","","","","","","","","",""
"מה קורה לזכאות הסלולר שלי במידה ואצא לחופשת לידה?","במהלך 15 השבועות הראשונים ההשתתפות המשרדית נשמרת כרגיל. הארכת החופשה מעבר לכך (חל""ת) תאפס את תקרת ההשתתפות ל-0 ₪, ותחויבי במלוא עלות הליסינג באשראי פרטי עד חזרתך לעבודה.","qa","4","TRUE","","","","","","","","","","","","","","","","","","","","",""
"מה קורה כאשר אני יוצא לחופשה ללא תשלום (חל""ת) רגילה או שליחות בחו""ל?","תקרת ההשתתפות המשרדית תאופס ועלות הליסינג תרד מאמצעי התשלום הפרטי שלך. ניתן ""להקפיא"" את הקו רק לשם שמירת המספר בעלות של 5.10 ₪ בחודש.","qa","5","TRUE","","","","","","","","","","","","","","","","","","","","",""
"אני מתכנן לפרוש לגמלאות או לעזוב בעוד 4 חודשים. האם אוכל לשדרג מכשיר כעת?","לא. עובד שצפוי לסיים העסקה ב-6 החודשים הקרובים אינו זכאי להצטרף לתוכנית הליסינג, או לשדרג את מכשיר הליסינג מהמכרז הישן, וימשיך עם מכשירו הנוכחי עד העזיבה.","qa","6","TRUE","","","","","","","","","","","","","","","","","","","","",""
"האם מותר לי להעביר את קו הליסינג או המכשיר לבן משפחה?","לא. הציוד נועד לשימוש אישי ופעילות משרדית של העובד בלבד. חל איסור מוחלט להעבירו לאחר.","qa","7","TRUE","","","","","","","","","","","","","","","","","","","","",""
"מה קורה לחבילת הגלישה בחו""ל כשהיא מסתיימת?","כברירת מחדל, המנויים חסומים לגלישה בחריגה אחרי 10GB .
ב-75% וב-100% מהנפח תתקבלנה התראות עם הצעות לחבילות הרחבה בתשלום. במקרה שבחרת לאשר חבילת הרחבה, מהחבילות המוצעות, תמומש ההרחבה בחבילה נוספת.
ככל שקיימת יתרה במכסת ההשתתפות, תוכל לרכוש תוכנית נוספת במסגרת היתרה הכלולה במכסה, מעבר למכסת,תחויב מאמצעי התשלום האישי שלך.","qa","8","TRUE","","","","","","","","","","","","","","","","","","","","",""
"הוראת תכ""ם 16.7.1.1 - שדרוג/ניוד, הפעלת תוכניות סלולר וקבלת מכשירי סלולר בליסינג לעובדי המדינה","הקישור לתכ""ם: https://takam.mof.gov.il/document/HM.16.7.1 ","regulation","9","TRUE","","","","","","","","","","","","","","","","","","","","",""
