"       עלויות דגמי מכשיר ליסינג","","","","","","","","","","","           העלות לרכישת מכשיר סלולר, במקרה של עד 6 חודשים מהצטרפות למכרז","","","","","","           העלות לרכישת מכשיר סלולר, בהתאם ליתרת החודשים עד לסיום תקופת הליסינג     ","","","","","","","","","","","","","","","","",""
"","יצרן","דגם מכשיר","","","","","שיוך מכשיר למדרגת מחיר לחישוב השתתפות עצמית","Test","","   הערות","24","23","22","21","20","19","18","17","16","15","14","13","12","11","10","9","8","7","6","5","4","3","2","1"
"11","APPLE","iPhone 17 Pro Max","256"," ₪84.76"," ₪1,774.32"," ₪4,669.25","עד 5,000 ₪","","01/07/2026",""," ₪4,669.25"," ₪4,584.49"," ₪4,499.73"," ₪4,414.97"," ₪4,330.21"," ₪4,245.45"," ₪3,100.92"," ₪3,027.22"," ₪2,953.52"," ₪2,879.82"," ₪2,806.12"," ₪2,732.42"," ₪2,658.72"," ₪2,585.02"," ₪2,511.32"," ₪2,437.62"," ₪2,363.92"," ₪2,290.22"," ₪2,216.52"," ₪2,142.82"," ₪2,069.12"," ₪1,995.42"," ₪1,921.72"," ₪1,848.02"
"12","APPLE","iPhone 17 Pro Max","512"," ₪93.97"," ₪2,097.32"," ₪5,519.25","מעל 5,000 ₪","","01/07/2026",""," ₪5,519.25"," ₪5,425.28"," ₪5,331.31"," ₪5,237.34"," ₪5,143.37"," ₪5,049.40"," ₪3,589.70"," ₪3,506.79"," ₪3,423.88"," ₪3,340.97"," ₪3,258.06"," ₪3,175.15"," ₪3,092.24"," ₪3,009.33"," ₪2,926.42"," ₪2,843.51"," ₪2,760.60"," ₪2,677.69"," ₪2,594.78"," ₪2,511.87"," ₪2,428.96"," ₪2,346.05"," ₪2,263.14"," ₪2,180.23"
"13","APPLE","iPhone 17 Pro Max","1024"," ₪102.49"," ₪2,396.28"," ₪6,306.00","מעל 5,000 ₪","","01/07/2026",""," ₪6,306.00"," ₪6,203.51"," ₪6,101.02"," ₪5,998.53"," ₪5,896.04"," ₪5,793.55"," ₪4,042.02"," ₪3,950.59"," ₪3,859.16"," ₪3,767.73"," ₪3,676.30"," ₪3,584.87"," ₪3,493.44"," ₪3,402.01"," ₪3,310.58"," ₪3,219.15"," ₪3,127.72"," ₪3,036.29"," ₪2,944.86"," ₪2,853.43"," ₪2,762.00"," ₪2,670.57"," ₪2,579.14"," ₪2,487.71"
"1","SAMSUNG","Galaxy A37 5G","128"," ₪55.51"," ₪365.82"," ₪1,306.50","עד 2,000 ₪","","01/07/2026",""," ₪1,306.50"," ₪1,250.99"," ₪1,195.48"," ₪1,139.97"," ₪1,084.46"," ₪1,028.95"," ₪1,165.92"," ₪1,121.47"," ₪1,077.02"," ₪1,032.57"," ₪988.12"," ₪943.67"," ₪899.22"," ₪854.77"," ₪810.32"," ₪765.87"," ₪721.42"," ₪676.97"," ₪632.52"," ₪588.07"," ₪543.62"," ₪499.17"," ₪454.72"," ₪410.27"
"2","SAMSUNG","Galaxy A57 5G","256"," ₪63.27"," ₪498.89"," ₪1,781.75","עד 2,000 ₪","","01/07/2026",""," ₪1,781.75"," ₪1,718.48"," ₪1,655.21"," ₪1,591.94"," ₪1,528.67"," ₪1,465.40"," ₪1,438.67"," ₪1,386.46"," ₪1,334.25"," ₪1,282.04"," ₪1,229.83"," ₪1,177.62"," ₪1,125.41"," ₪1,073.20"," ₪1,020.99"," ₪968.78"," ₪916.57"," ₪864.36"," ₪812.15"," ₪759.94"," ₪707.73"," ₪655.52"," ₪603.31"," ₪551.10"
"3","SAMSUNG","Galaxy S25","256"," ₪75.37"," ₪706.25"," ₪2,522.33","עד 3,500 ₪","","01/07/2026",""," ₪2,522.33"," ₪2,446.96"," ₪2,371.59"," ₪2,296.22"," ₪2,220.85"," ₪2,145.48"," ₪1,863.83"," ₪1,799.52"," ₪1,735.21"," ₪1,670.90"," ₪1,606.59"," ₪1,542.28"," ₪1,477.97"," ₪1,413.66"," ₪1,349.35"," ₪1,285.04"," ₪1,220.73"," ₪1,156.42"," ₪1,092.11"," ₪1,027.80"," ₪963.49"," ₪899.18"," ₪834.87"," ₪770.56"
"4","SAMSUNG","Galaxy S25 FE","256"," ₪70.20"," ₪617.68"," ₪2,206.00","עד 3,500 ₪","","01/07/2026",""," ₪2,206.00"," ₪2,135.80"," ₪2,065.60"," ₪1,995.40"," ₪1,925.20"," ₪1,855.00"," ₪1,682.20"," ₪1,623.06"," ₪1,563.92"," ₪1,504.78"," ₪1,445.64"," ₪1,386.50"," ₪1,327.36"," ₪1,268.22"," ₪1,209.08"," ₪1,149.94"," ₪1,090.80"," ₪1,031.66"," ₪972.52"," ₪913.38"," ₪854.24"," ₪795.10"," ₪735.96"," ₪676.82"
"5","SAMSUNG","Galaxy S25 Edge","256"," ₪75.91"," ₪715.59"," ₪2,555.67","עד 3,500 ₪","","01/07/2026",""," ₪2,555.67"," ₪2,479.76"," ₪2,403.85"," ₪2,327.94"," ₪2,252.03"," ₪2,176.12"," ₪1,882.89"," ₪1,818.04"," ₪1,753.19"," ₪1,688.34"," ₪1,623.49"," ₪1,558.64"," ₪1,493.79"," ₪1,428.94"," ₪1,364.09"," ₪1,299.24"," ₪1,234.39"," ₪1,169.54"," ₪1,104.69"," ₪1,039.84"," ₪974.99"," ₪910.14"," ₪845.29"," ₪780.44"
"6","SAMSUNG","Galaxy S25 Edge","512"," ₪76.46"," ₪725.01"," ₪2,589.33","עד 3,500 ₪","","01/07/2026",""," ₪2,589.33"," ₪2,512.87"," ₪2,436.41"," ₪2,359.95"," ₪2,283.49"," ₪2,207.03"," ₪1,902.21"," ₪1,836.81"," ₪1,771.41"," ₪1,706.01"," ₪1,640.61"," ₪1,575.21"," ₪1,509.81"," ₪1,444.41"," ₪1,379.01"," ₪1,313.61"," ₪1,248.21"," ₪1,182.81"," ₪1,117.41"," ₪1,052.01"," ₪986.61"," ₪921.21"," ₪855.81"," ₪790.41"
"7","SAMSUNG","Galaxy S25 Ultra","256"," ₪89.53"," ₪949.01"," ₪3,389.33","עד 3,500 ₪","","01/07/2026",""," ₪3,389.33"," ₪3,299.80"," ₪3,210.27"," ₪3,120.74"," ₪3,031.21"," ₪2,941.68"," ₪2,361.47"," ₪2,283.00"," ₪2,204.53"," ₪2,126.06"," ₪2,047.59"," ₪1,969.12"," ₪1,890.65"," ₪1,812.18"," ₪1,733.71"," ₪1,655.24"," ₪1,576.77"," ₪1,498.30"," ₪1,419.83"," ₪1,341.36"," ₪1,262.89"," ₪1,184.42"," ₪1,105.95"," ₪1,027.48"
