"מחיר מחירון משוקלל מכשיר
(כפי שנקבע בעת הזמנת המכשיר בליסינג בהתאם לסעיף 16.9.2), כולל מע""מ","שבר/ השבתת מסך
פעם אחת בכל תקופת הליסינג, כולל מע""מ","שבר/ השבתת מסך
עלות מעבר לפעם הראשונה, כולל מע""מ","אובדן/ גניבה (המכשיר ייחסם לשימוש)
פעם אחת בכל תקופת ליסינג, כולל מע""מ","אובדן/ גניבה (המכשיר ייחסם לשימוש)
מעבר לפעם הראשונה, כולל מע""מ","השבתת מכשיר
פעם אחת בכל תקופת ליסינג, כולל מע""מ","השבתת מכשיר
מעבר לפעם הראשונה, כולל מע""מ",isActive
מכשיר לחצנים Feature Phone,50.4 ₪,50.4 ₪,100.1 ₪,סגירת התחייבות ולקיחת מכשיר ליסינג לחצנים חדש,100.1 ₪,סגירת התחייבות ולקיחת מכשיר ליסינג לחצנים חדש,TRUE
מכשיר כשר,50.4 ₪,50.4 ₪,100.1 ₪,סגירת התחייבות ולקיחת מכשיר ליסינג לחצנים חדש,100.1 ₪,סגירת התחייבות ולקיחת מכשיר ליסינג לחצנים חדש,TRUE
"עד 2,000 ₪",110.1 ₪,302.5 ₪,504 ₪,"לפי דגם ומחיר המכשיר שאבד/ נגנב בפועל וכפי שידוע ביום מימוש האובדן/גניבה בהתאם לסעיף 16.9.2, תוכנית הליסינג תימשך בהתאם לתוכנית המקורית (יתרת התקופה ומחיר החודשי)",403 ₪,"לפי דגם ומחיר המכשיר שהושבת בפועל וכפי שידוע ביום מימוש ההשבתה בהתאם לסעיף 16.9.2, תוכנית הליסינג תימשך בהתאם לתוכנית המקורית (יתרת התקופה ומחיר החודשי)",TRUE
"עד 3,500 ₪",110.1 ₪,403 ₪,"1,664 ₪","לפי דגם ומחיר המכשיר שאבד/ נגנב בפועל וכפי שידוע ביום מימוש האובדן/גניבה בהתאם לסעיף 16.9.2, תוכנית הליסינג תימשך בהתאם לתוכנית המקורית (יתרת התקופה ומחיר החודשי)","1,210 ₪","לפי דגם ומחיר המכשיר שהושבת בפועל וכפי שידוע ביום מימוש ההשבתה בהתאם לסעיף 16.9.2, תוכנית הליסינג תימשך בהתאם לתוכנית המקורית (יתרת התקופה ומחיר החודשי)",TRUE
"עד 5,000 ₪",110.1 ₪,605 ₪,"2,269 ₪","לפי דגם ומחיר המכשיר שאבד/ נגנב בפועל וכפי שידוע ביום מימוש האובדן/גניבה בהתאם לסעיף 16.9.2, תוכנית הליסינג תימשך בהתאם לתוכנית המקורית (יתרת התקופה ומחיר החודשי)","1,613.7 ₪","לפי דגם ומחיר המכשיר שהושבת בפועל וכפי שידוע ביום מימוש ההשבתה בהתאם לסעיף 16.9.2, תוכנית הליסינג תימשך בהתאם לתוכנית המקורית (יתרת התקופה ומחיר החודשי)",TRUE
"מעל ל- 5,000 ₪",110.1 ₪,807 ₪,"3,025.7 ₪","לפי דגם ומחיר המכשיר שאבד/ נגנב בפועל וכפי שידוע ביום מימוש האובדן/גניבה בהתאם לסעיף 16.9.2, תוכנית הליסינג תימשך בהתאם לתוכנית המקורית (יתרת התקופה ומחיר החודשי)","50% ממחיר המכשיר, כפי שנקבע בעת הזמנת המכשיר בליסינג, בהתאם לסעיף 16.9.2","לפי דגם ומחיר המכשיר שהושבת בפועל וכפי שידוע ביום מימוש ההשבתה בהתאם לסעיף 16.9.2, תוכנית הליסינג תימשך בהתאם לתוכנית המקורית (יתרת התקופה ומחיר החודשי)",TRUE
