id,label,desc,allowance,restrictToSimOnly,isActive
bachir_a,מדרג בכיר א',"מנכ""לים ומוקבלי מנכ""לים ומעלה בדירוגים השונים.",236,false,TRUE
bachir_b,מדרג בכיר ב',"עובדים בסגל בכיר: מתח דרגות 42-44 ומעלה בדירוג המח""ר או במתח מקביל.",177,false,TRUE
tichon,מדרג תיכון,"עובדים במתחי דרגות שסיומם בדרגה 42 או 43 בדירוג המח""ר, או במתח מקביל.",118,false,TRUE
merav,מדרג מירב,"עובדים במתחי דרגות שסיומם בדרגה 40 או 41 בדירוג המח""ר, או במתח מקביל.",88.5,false,TRUE
masad,מדרג מסד,עובדים במתחי דרגות שסיומם ב-39 ומטה. כולל סטודנטים ואזרחים ותיקים (עודכן ב-v1.5).,88.5,false,TRUE
other,מדרג אחר (SIM ONLY),"קבוצת עובדים הזכאים רק לחבילת סלולר ללא מכשיר, בהתאם לשיקול דעת המשרד.",11.06,true,TRUE
exception,מדרג חריג (ללא השתתפות),"מכסה זמנית: חל""ת, השעיה, שליחות. המכשיר ע""ח פרטי.",0,false,TRUE
